arquivo_json;pacote;imagem;id;dedo;antes;depois;acoes
resultado - Gabriel.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0055.png;tec;Anelar - Direita;"[Dedo Fora da Área:5; Scanner Sujo:3]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0066.png;tec;Anelar - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0077.png;tec;Anelar - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0088.png;tec;Anelar - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0099.png;tec;Anelar - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_3d_medio_1703165959_167844_frame_0066.png;tec;Médio - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_3d_medio_1703165959_167844_frame_0077.png;tec;Médio - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_3d_medio_1703165959_167844_frame_0088.png;tec;Médio - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_3d_medio_1703165959_167844_frame_0099.png;tec;Médio - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gladson.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0022.png;tec;Anelar - Direita;"[Segmentação Boa:4; Fora de Foco:3; Digital Escura:3; Fiapos na Digital:3; Manchas na Digital:3; Sem Padrão Visível:3; Scanner Sujo:3]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_4d_indic_1703165690_0677896_frame_0000.png;tec;Indicador - Direita;"[Segmentação Boa:3; Manchas na Digital:3; Scanner Sujo:3; Fora de Foco:4; Digital Clara:2]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_5d_dedao_1703165768_185232_frame_0099.png;tec;Dedão - Direita;"[Segmentação Boa:4; Scanner Sujo:2; Manchas na Digital:2; Digital Escura:2; Fiapos na Digital:1]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;dcb_4d_2_indic_1731100298.0000000.png;dcb;Indicador - Direita;"[Sem Padrão Visível:5; Scanner Sujo:5; Manchas na Digital:5; Digital Escura:5; Fiapos na Digital:5; Dedo Fora da Área:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gladson.json;imagens_unificadas.zip;dcb_5d_2_dedao_1731100298.0000000.png;dcb;Dedão - Direita;"[Segmentação Boa:3; Manchas na Digital:3; Scanner Sujo:3; Digital Escura:2; Fiapos na Digital:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_1d_mind_1731092870.0000000.png;jmm;Mindinho - Direita;"[Segmentação Boa:3; Digital Clara:2; Manchas na Digital:3]";"[Digital Clara:2; Manchas na Digital:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;jmm_2d_anel_1731092862.0000000.png;jmm;Anelar - Direita;"[Scanner Sujo:3; Segmentação Boa:3; Manchas na Digital:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_3e_medio_1731092855.0000000.png;jmm;Médio - Esquerda;"[Segmentação Boa:3; Manchas na Digital:3; Scanner Sujo:3; Fiapos na Digital:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_4d_2_indic_1731100277.0000000.png;jmm;Indicador - Direita;"[Segmentação Boa:4; Fiapos na Digital:3; Scanner Sujo:3; Manchas na Digital:2]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_4d_indic_1731092839.0000000.png;jmm;Indicador - Direita;"[Fiapos na Digital:3; Segmentação Boa:4; Scanner Sujo:3; Manchas na Digital:1]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_4e_2_indic_1731100277.0000000.png;jmm;Indicador - Esquerda;"[Segmentação Boa:5; Fiapos na Digital:4; Manchas na Digital:2; Scanner Sujo:3]";[Segmentação Boa:5];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_4e_indic_1731092839.0000000.png;jmm;Indicador - Esquerda;"[Segmentação Boa:2; Digital Escura:2; Fiapos na Digital:4; Manchas na Digital:2; Scanner Sujo:2]";[Segmentação Boa:2];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_5d_2_dedao_1731100277.0000000.png;jmm;Dedão - Direita;"[Segmentação Boa:5; Dedo Fora da Área:3; Fiapos na Digital:3; Scanner Sujo:3]";"[Dedo Fora da Área:3; Fiapos na Digital:3; Scanner Sujo:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;jmm_5d_dedao_1731092813.0000000.png;jmm;Dedão - Direita;"[Manchas na Digital:3; Fiapos na Digital:3; Dedo Fora da Área:2; Scanner Sujo:3; Digital Clara:2; Segmentação Boa:4]";"[Manchas na Digital:3; Fiapos na Digital:3; Dedo Fora da Área:2; Scanner Sujo:3; Digital Clara:2]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;jmm_5e_2_dedao_1731100277.0000000.png;jmm;Dedão - Esquerda;"[Scanner Sujo:3; Manchas na Digital:3; Fiapos na Digital:3; Digital Clara:3; Segmentação Boa:5]";[Segmentação Boa:5];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;jmm_5e_dedao_1731092813.0000000.png;jmm;Dedão - Esquerda;"[Scanner Sujo:3; Fiapos na Digital:2; Digital Clara:3; Segmentação Boa:4; Manchas na Digital:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;mbp_3e_medio_1731092855.0000000.png;mbp;Médio - Esquerda;"[Segmentação Boa:2; Digital Escura:3; Manchas na Digital:3; Fiapos na Digital:3; Scanner Sujo:3]";"[Digital Escura:3; Manchas na Digital:3; Fiapos na Digital:3; Scanner Sujo:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;pg_1e_mind_1731092870.0000000.png;pg;Mindinho - Esquerda;"[Digital Escura:4; Scanner Sujo:2; Manchas na Digital:2; Segmentação Boa:3]";"[Digital Escura:4; Scanner Sujo:2; Manchas na Digital:2]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;pg_2d_anel_1731092862.0000000.png;pg;Anelar - Direita;"[Digital Escura:4; Segmentação Boa:4; Scanner Sujo:3]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_2e_anel_1731092862.0000000.png;pg;Anelar - Esquerda;"[Digital Escura:5; Fiapos na Digital:4; Scanner Sujo:3; Segmentação Boa:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_3d_medio_1731092855.0000000.png;pg;Médio - Direita;"[Digital Escura:5; Manchas na Digital:3; Scanner Sujo:2; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_3e_medio_1731092855.0000000.png;pg;Médio - Esquerda;"[Digital Escura:4; Scanner Sujo:3; Manchas na Digital:4; Segmentação Boa:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_4d_2_indic_1731100277.0000000.png;pg;Indicador - Direita;"[Fiapos na Digital:2; Digital Escura:3; Scanner Sujo:2; Manchas na Digital:2; Segmentação Boa:4]";"[Fiapos na Digital:2; Digital Escura:3; Scanner Sujo:2; Manchas na Digital:2]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;pg_4d_indic_1731092839.0000000.png;pg;Indicador - Direita;"[Segmentação Boa:4; Fora de Foco:2; Manchas na Digital:3; Scanner Sujo:2; Digital Escura:4; Fiapos na Digital:2]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_4e_indic_1731092839.0000000.png;pg;Indicador - Esquerda;"[Scanner Sujo:2; Manchas na Digital:2; Digital Escura:4; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_5d_dedao_1731092813.0000000.png;pg;Dedão - Direita;"[Fiapos na Digital:3; Scanner Sujo:2; Digital Escura:4; Dedo Fora da Área:4; Segmentação Boa:4]";"[Fiapos na Digital:3; Scanner Sujo:2; Digital Escura:4; Dedo Fora da Área:4]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;pg_5e_2_dedao_1731100277.0000000.png;pg;Dedão - Esquerda;"[Dedo Fora da Área:3; Scanner Sujo:2; Manchas na Digital:3; Digital Escura:3; Segmentação Boa:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;pg_5e_dedao_1731092813.0000000.png;pg;Dedão - Esquerda;"[Digital Escura:3; Fiapos na Digital:2; Scanner Sujo:2; Manchas na Digital:3; Segmentação Boa:5; Dedo Fora da Área:4]";"[Digital Escura:3; Fiapos na Digital:2; Scanner Sujo:2; Manchas na Digital:3; Dedo Fora da Área:4]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;rsafp_1d_mind_1731092870.0000000.png;rsafp;Mindinho - Direita;"[Scanner Sujo:5; Segmentação Boa:4; Fora de Foco:2; Dedo Fora da Área:2; Manchas na Digital:3; Digital Escura:3]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_1e_mind_1731092870.0000000.png;rsafp;Mindinho - Esquerda;"[Manchas na Digital:2; Digital Escura:5; Scanner Sujo:4; Segmentação Boa:4; Fiapos na Digital:2]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_2d_anel_1731092862.0000000.png;rsafp;Anelar - Direita;"[Segmentação Boa:4; Fora de Foco:3; Manchas na Digital:4; Digital Escura:4; Scanner Sujo:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_2e_anel_1731092862.0000000.png;rsafp;Anelar - Esquerda;"[Digital Escura:5; Manchas na Digital:3; Segmentação Boa:4; Fiapos na Digital:2; Scanner Sujo:4; Fora de Foco:2]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_3d_medio_1731092855.0000000.png;rsafp;Médio - Direita;"[Digital Escura:5; Manchas na Digital:3; Fiapos na Digital:3; Scanner Sujo:4; Segmentação Boa:4; Fora de Foco:2]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_3e_medio_1731092855.0000000.png;rsafp;Médio - Esquerda;"[Segmentação Boa:3; Fiapos na Digital:3; Scanner Sujo:3; Digital Escura:4; Manchas na Digital:3; Fora de Foco:2; Dedo Fora da Área:2]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_4d_2_indic_1731099479.0000000.png;rsafp;Indicador - Direita;"[Digital Clara:3; Fora de Foco:4; Segmentação Boa:3; Manchas na Digital:4; Scanner Sujo:3; Sem Padrão Visível:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_4d_indic_1731092839.0000000.png;rsafp;Indicador - Direita;"[Sem Padrão Visível:3; Scanner Sujo:3; Digital Clara:3; Manchas na Digital:3; Segmentação Boa:3]";"[Sem Padrão Visível:3; Scanner Sujo:3; Digital Clara:3; Manchas na Digital:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;rsafp_4e_2_indic_1731099479.0000000.png;rsafp;Indicador - Esquerda;"[Dedo Fora da Área:3; Sem Padrão Visível:2; Scanner Sujo:2; Manchas na Digital:3; Segmentação Boa:3; Digital Escura:4]";"[Dedo Fora da Área:3; Sem Padrão Visível:2; Scanner Sujo:2; Manchas na Digital:3; Digital Escura:4]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;rsafp_4e_indic_1731092839.0000000.png;rsafp;Indicador - Esquerda;"[Dedo Fora da Área:3; Scanner Sujo:3; Manchas na Digital:3; Digital Escura:3; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_5d_2_dedao_1731099479.0000000.png;rsafp;Dedão - Direita;"[Dedo Fora da Área:3; Scanner Sujo:3; Manchas na Digital:3; Digital Escura:3; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_5d_dedao_1731092813.0000000.png;rsafp;Dedão - Direita;"[Scanner Sujo:3; Dedo Fora da Área:3; Digital Escura:3; Manchas na Digital:3; Segmentação Boa:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;rsafp_5e_2_dedao_1731099479.0000000.png;rsafp;Dedão - Esquerda;"[Dedo Fora da Área:3; Scanner Sujo:3; Manchas na Digital:3; Digital Clara:3; Segmentação Boa:4]";"[Dedo Fora da Área:3; Scanner Sujo:3; Manchas na Digital:3; Digital Clara:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;rsafp_5e_dedao_1731092813.0000000.png;rsafp;Dedão - Esquerda;"[Scanner Sujo:3; Manchas na Digital:3; Fiapos na Digital:3; Digital Clara:3; Segmentação Boa:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;sds_5d_dedao_1731092813.0000000.png;sds;Dedão - Direita;"[Dedo Fora da Área:2; Scanner Sujo:2; Manchas na Digital:3; Digital Escura:3; Segmentação Boa:2]";"[Dedo Fora da Área:2; Scanner Sujo:2; Manchas na Digital:3; Digital Escura:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;vdr_1d_mind_1731092870.0000000.png;vdr;Mindinho - Direita;"[Dedo Fora da Área:2; Scanner Sujo:2; Manchas na Digital:4; Fora de Foco:2; Digital Clara:2; Segmentação Boa:1]";"[Dedo Fora da Área:2; Scanner Sujo:2; Manchas na Digital:4; Fora de Foco:2; Digital Clara:2]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;vdr_1e_mind_1731092870.0000000.png;vdr;Mindinho - Esquerda;"[Scanner Sujo:3; Manchas na Digital:3; Digital Escura:3; Fora de Foco:3; Segmentação Boa:1]";"[Scanner Sujo:3; Manchas na Digital:3; Digital Escura:3; Fora de Foco:3]";Segmentação Boa removida porque havia E01-E08 na mesma imagem
resultado - Gladson.json;imagens_unificadas.zip;vdr_2d_anel_1731092862.0000000.png;vdr;Anelar - Direita;"[Sem Padrão Visível:4; Scanner Sujo:2; Manchas na Digital:4; Digital Escura:3; Fiapos na Digital:2; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_2e_anel_1731092862.0000000.png;vdr;Anelar - Esquerda;"[Sem Padrão Visível:5; Scanner Sujo:4; Manchas na Digital:3; Digital Escura:5; Fora de Foco:4; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_3d_medio_1731092855.0000000.png;vdr;Médio - Direita;"[Sem Padrão Visível:4; Scanner Sujo:2; Manchas na Digital:3; Digital Escura:4; Fiapos na Digital:2; Fora de Foco:5; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_3e_medio_1731092855.0000000.png;vdr;Médio - Esquerda;"[Sem Padrão Visível:3; Scanner Sujo:4; Manchas na Digital:3; Digital Escura:4; Segmentação Boa:2; Fora de Foco:4]";[Segmentação Boa:2];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_4e_2_indic_1731100298.0000000.png;vdr;Indicador - Esquerda;"[Sem Padrão Visível:4; Scanner Sujo:2; Manchas na Digital:3; Digital Escura:4; Fiapos na Digital:2; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_5d_dedao_1731092813.0000000.png;vdr;Dedão - Direita;"[Sem Padrão Visível:4; Scanner Sujo:3; Manchas na Digital:3; Digital Escura:4; Fiapos na Digital:2; Fora de Foco:4; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_5e_2_dedao_1731100298.0000000.png;vdr;Dedão - Esquerda;"[Scanner Sujo:2; Manchas na Digital:4; Segmentação Boa:2; Digital Escura:4]";[Segmentação Boa:2];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;vdr_5e_dedao_1731092813.0000000.png;vdr;Dedão - Esquerda;"[Segmentação Boa:4; Fora de Foco:3; Digital Escura:3; Manchas na Digital:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0000.png;tec;Mindinho - Direita;"[Digital Clara:4; Fora de Foco:4; Scanner Sujo:4; Segmentação Boa:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0011.png;tec;Mindinho - Direita;"[Segmentação Boa:4; Manchas na Digital:4; Digital Clara:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0022.png;tec;Mindinho - Direita;"[Manchas na Digital:4; Digital Clara:2; Fora de Foco:4; Segmentação Boa:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0033.png;tec;Mindinho - Direita;"[Segmentação Boa:4; Fora de Foco:3; Digital Clara:3; Manchas na Digital:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0044.png;tec;Mindinho - Direita;"[Segmentação Boa:4; Fora de Foco:3; Digital Clara:2; Manchas na Digital:3]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0000.png;tec;Anelar - Direita;"[Segmentação Boa:4; Scanner Sujo:3; Manchas na Digital:3; Digital Escura:3; Sem Padrão Visível:4]";[Segmentação Boa:4];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0011.png;tec;Anelar - Direita;"[Segmentação Boa:3; Fora de Foco:4; Sem Padrão Visível:4; Scanner Sujo:3; Manchas na Digital:4; Digital Escura:3]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gladson.json;imagens_unificadas.zip;tec_2d_anel_1703165917_0821023_frame_0033.png;tec;Anelar - Direita;"[Segmentação Boa:5; Fora de Foco:4; Manchas na Digital:3; Digital Escura:2; Scanner Sujo:3; Sem Padrão Visível:3]";[Segmentação Boa:5];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
